Date,Open,High,Low,Close,Volume,OpenInterest
2018-07-19,2826.25,2829.75,2812.0,2817.0,2695526,0
2018-07-20,2817.25,2822.25,2804.75,2812.5,2691633,0
2018-07-23,2817.0,2824.25,2804.25,2823.75,2696073,0
2018-07-24,2822.25,2843.0,2822.0,2832.75,2697964,0
2018-07-25,2831.0,2861.25,2825.75,2853.0,2704995,0
2018-07-26,2847.0,2858.25,2845.0,2854.25,2705919,0
2018-07-27,2852.0,2858.75,2820.5,2829.25,2682281,0
2018-07-30,2827.75,2833.5,2810.0,2815.0,2675353,0
2018-07-31,2817.25,2839.5,2814.5,2828.75,2677735,0
2018-08-01,2836.0,2837.5,2817.25,2822.5,2673534,0
2018-08-02,2825.75,2843.0,2802.75,2840.25,2709128,0
2018-08-03,2842.5,2853.25,2836.5,2851.25,2713635,0
2018-08-06,2853.25,2865.25,2846.75,2861.75,2735143,0
2018-08-07,2861.0,2875.5,2860.0,2871.5,2744347,0
2018-08-08,2872.25,2874.25,2864.25,2867.0,2747149,0
2018-08-09,2865.25,2874.5,2862.25,2865.5,2757712,0
2018-08-10,2864.25,2864.5,2837.75,2848.5,2727026,0
2018-08-13,2847.5,2855.5,2831.75,2837.25,2714240,0
2018-08-14,2838.5,2855.25,2837.5,2852.75,2729801,0
2018-08-15,2853.5,2854.75,2814.75,2833.0,2727726,0
2018-08-16,2834.0,2863.5,2829.25,2856.5,2742522,0
2018-08-17,2855.25,2868.75,2846.75,2864.0,2722402,0
2018-08-20,2863.5,2872.5,2862.0,2870.25,2726276,0
2018-08-21,2868.5,2885.75,2863.75,2873.5,2730460,0
2018-08-22,2864.75,2880.0,2858.0,2873.0,2738403,0
2018-08-23,2873.5,2881.5,2866.5,2869.75,2727374,0
2018-08-24,2870.0,2889.25,2868.0,2888.5,2735145,0
2018-08-27,2889.5,2911.25,2888.5,2910.25,2760646,0
2018-08-28,2910.75,2918.0,2906.0,2911.0,2768014,0
2018-08-29,2912.25,2929.25,2909.25,2926.5,2782971,0
2018-08-30,2927.5,2928.0,2907.25,2913.75,2771995,0
2018-08-31,2909.75,2919.25,2903.5,2913.75,2788109,0
2018-09-04,2918.25,2924.25,2897.25,2910.0,2771894,0
2018-09-05,2910.5,2912.25,2889.25,2900.0,2780588,0
2018-09-06,2900.25,2904.75,2879.75,2890.75,2758301,0
2018-09-07,2889.5,2896.75,2876.75,2886.5,2706678,0
2018-09-10,2885.5,2900.0,2885.0,2892.0,2714490,0
2018-09-11,2891.5,2904.75,2879.0,2901.5,2690666,0
2018-09-12,2901.75,2907.0,2891.25,2900.25,2589244,0
2018-09-13,2899.25,2918.75,2896.5,2917.0,667008,0
2018-09-14,2916.25,2924.0,2908.75,2918.25,1128631,0
2018-09-17,2915.75,2918.0,2899.0,2902.75,1739118,0
2018-09-18,2902.25,2924.5,2890.25,2918.5,2291959,0
2018-09-19,2919.75,2925.5,2912.5,2921.75,2562710,0
2018-09-20,2923.25,2947.5,2920.0,2946.25,2670821,0
2018-09-21,2946.25,2953.75,2938.75,2940.5,2683226,0
2018-09-24,2936.25,2937.0,2924.5,2932.25,2668621,0
2018-09-25,2933.25,2941.0,2925.0,2928.0,2673717,0
2018-09-26,2929.25,2942.75,2914.25,2918.25,2701707,0
2018-09-27,2918.25,2938.75,2914.25,2926.75,2715930,0
2018-09-28,2929.0,2932.25,2914.75,2925.75,2711354,0
2018-10-01,2929.25,2948.75,2929.25,2936.75,2707643,0
2018-10-02,2936.0,2942.75,2924.25,2935.25,2706036,0
2018-10-03,2935.75,2951.5,2931.5,2938.25,2726120,0
2018-10-04,2932.75,2933.0,2894.5,2914.5,2694807,0
2018-10-05,2916.75,2922.25,2880.0,2900.75,2701393,0
2018-10-08,2904.25,2905.0,2872.75,2900.5,2732047,0
2018-10-09,2899.0,2906.75,2881.25,2895.0,2742562,0
2018-10-10,2893.5,2898.0,2778.25,2787.75,2833715,0
2018-10-11,2783.25,2805.5,2719.0,2752.25,2853603,0
2018-10-12,2755.25,2791.75,2739.0,2775.25,2786486,0
2018-10-15,2776.75,2785.5,2752.0,2755.75,2765969,0
2018-10-16,2754.25,2825.75,2752.25,2824.5,2738078,0
2018-10-17,2823.0,2831.0,2790.0,2823.0,2715306,0
2018-10-18,2820.0,2821.5,2763.25,2779.0,2709549,0
2018-10-19,2781.5,2807.25,2769.0,2774.25,2726587,0
2018-10-22,2764.75,2788.75,2756.5,2763.25,2744048,0
2018-10-23,2762.5,2764.25,2699.0,2753.0,2762871,0
2018-10-24,2752.0,2756.75,2659.0,2671.0,2780617,0
2018-10-25,2680.5,2730.5,2665.5,2695.0,2777378,0
2018-10-26,2684.75,2699.5,2634.0,2676.25,2810469,0
2018-10-29,2673.75,2713.75,2609.75,2650.25,2832369,0
2018-10-30,2645.75,2697.0,2640.0,2692.0,2801386,0
2018-10-31,2697.5,2744.0,2688.75,2717.75,2772626,0
2018-11-01,2712.75,2748.0,2712.25,2744.75,2765125,0
2018-11-02,2730.75,2773.0,2706.25,2731.0,2772149,0
2018-11-05,2729.25,2750.5,2719.5,2746.25,2753163,0
2018-11-06,2745.75,2767.75,2736.5,2765.75,2734277,0
2018-11-07,2763.5,2824.5,2751.5,2823.25,2739779,0
2018-11-08,2822.5,2824.75,2801.75,2815.5,2730561,0
2018-11-09,2810.75,2818.0,2771.25,2785.75,2737796,0
2018-11-12,2785.5,2802.0,2729.0,2734.5,2756704,0
2018-11-13,2738.75,2762.5,2721.25,2734.25,2753792,0
2018-11-14,2738.0,2755.0,2693.0,2705.25,2755546,0
2018-11-15,2708.75,2743.5,2678.0,2741.25,2731137,0
2018-11-16,2738.5,2755.5,2715.5,2749.75,2733741,0
2018-11-19,2739.75,2754.75,2688.25,2703.0,2751484,0
2018-11-20,2703.0,2703.5,2638.5,2646.75,2799436,0
2018-11-21,2646.5,2678.0,2639.0,2655.75,2793684,0
2018-11-23,2656.75,2663.0,2632.75,2636.25,2792725,0
2018-11-26,2640.25,2683.0,2638.25,2676.75,2783014,0
2018-11-27,2667.75,2693.5,2662.0,2690.25,2763027,0
2018-11-28,2693.0,2751.75,2687.75,2748.25,2773110,0
2018-11-29,2744.75,2761.25,2730.0,2751.0,2749286,0
2018-11-30,2748.75,2771.5,2735.75,2765.0,2737306,0
2018-12-03,2800.25,2820.75,2780.25,2797.5,2740857,0
2018-12-04,2796.5,2797.25,2702.75,2708.5,2746850,0
2018-12-05,2706.25,2727.5,2704.75,2708.5,2742552,0
2018-12-06,2720.0,2720.75,2628.0,2697.75,2756495,0
2018-12-07,2701.0,2716.5,2630.0,2642.75,2770476,0
2018-12-10,2631.75,2655.25,2589.75,2649.75,2768482,0
2018-12-11,2650.75,2684.75,2628.0,2648.0,2732623,0
2018-12-12,2639.25,2693.25,2638.5,2659.25,2657369,0
2018-12-13,2660.0,2678.0,2644.0,2652.25,684229,0
2018-12-14,2652.75,2655.5,2600.0,2608.25,1111562,0
2018-12-17,2598.25,2619.5,2536.25,2558.5,1758331,0
2018-12-18,2560.0,2580.5,2532.75,2540.75,2250599,0
2018-12-19,2534.75,2594.75,2492.25,2507.25,2437430,0
2018-12-20,2507.75,2520.75,2444.25,2489.0,2596391,0
2018-12-21,2487.75,2510.75,2412.0,2416.25,2685441,0
2018-12-24,2410.5,2437.25,2343.25,2344.5,2790461,0
2018-12-26,2351.25,2480.5,2319.5,2473.75,2763223,0
2018-12-27,2473.0,2501.5,2399.75,2497.75,2717807,0
2018-12-28,2494.25,2525.75,2475.5,2488.75,2695857,0
